unidade;ano;mes;setor_centro_custo;paciente_dia
HMAL;2020,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;406,0
HMAL;2020,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;478,0
HMAL;2020,0;6,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;51,0
HMAL;2020,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;416,0
HMAL;2020,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;491,0
HMAL;2020,0;7,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;322,0
HMAL;2020,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;415,0
HMAL;2020,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;486,0
HMAL;2020,0;8,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;407,0
HMAL;2020,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;397,0
HMAL;2020,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;487,0
HMAL;2020,0;9,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;406,0
HMAL;2020,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;412,0
HMAL;2020,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;481,0
HMAL;2020,0;10,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;420,0
HMAL;2020,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;449,0
HMAL;2020,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;486,0
HMAL;2020,0;11,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;418,0
HMAL;2020,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;422,0
HMAL;2020,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;436,0
HMAL;2020,0;12,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;292,0
HMAL;2021,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;439,0
HMAL;2021,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;504,0
HMAL;2021,0;1,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;63,0
HMAL;2021,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;403,0
HMAL;2021,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;438,0
HMAL;2021,0;2,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;384,0
HMAL;2021,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;450,0
HMAL;2021,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;517,0
HMAL;2021,0;3,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;413,0
HMAL;2021,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;447,0
HMAL;2021,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;492,0
HMAL;2021,0;4,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;414,0
HMAL;2021,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;488,0
HMAL;2021,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;512,0
HMAL;2021,0;5,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;430,0
HMAL;2021,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;427,0
HMAL;2021,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;506,0
HMAL;2021,0;6,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;382,0
HMAL;2021,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;473,0
HMAL;2021,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;527,0
HMAL;2021,0;7,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;441,0
HMAL;2021,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;414,0
HMAL;2021,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;524,0
HMAL;2021,0;8,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;373,0
HMAL;2021,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;412,0
HMAL;2021,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;509,0
HMAL;2021,0;9,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;390,0
HMAL;2021,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;451,0
HMAL;2021,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;492,0
HMAL;2021,0;10,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;371,0
HMAL;2021,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;432,0
HMAL;2021,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;485,0
HMAL;2021,0;11,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;376,0
HMAL;2021,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;419,0
HMAL;2021,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;315,0
HMAL;2021,0;12,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;372,0
HMAL;2022,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;495,0
HMAL;2022,0;1,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;425,0
HMAL;2022,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;385,0
HMAL;2022,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;209,0
HMAL;2022,0;2,0;UNIDADE INTERNAÇÃO - BUCO TRAUMATO ORTOPEDIA 2º ANDAR;352,0
HMAL;2022,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;373,0
HMAL;2022,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;427,0
